Longitude	Latitude
-125.627581667	44.7369683333
-125.305	44.605
-125.918333333	44.61
-125.70288	44.44043
-125.49744	44.0833166667
-125.059053333	44.98493
-125.179171667	44.7432333333
-125.153591667	44.7921683333
-125.01235	44.0110333333
-125.078135	44.7784583333
-125.696466667	45.2796666667
-125.232025	45.7857916667
-125.198918333	45.7129233333
-125.31048	46.6568666667
-125.305575	46.6952433333
-125.039608333	46.7661633333
-125.141495	46.780665
-125.228505	46.1160483333
-125.05809	46.6371366667
-125.418333333	46.095
-125.20348	47.1015466667
-125.111245	47.703695
-125.854805	48.4738383333
-125.905	48.495
-125.265	48.1616666667
-125.308841667	48.0104666667
-125.412575	48.0322383333
-125.554641667	48.2019
-125.4165	48.0520083333
-125.242595	48.4309883333
-147.003323333	31.9866916667
-146.167191667	27.2700316667
-144.64286	31.9618683333
-154.995658333	40.48471
-154.324646667	41.258535
-154.554675	41.7163866667
-152.0545	39.8825
-152.421955	39.192505
-152.489638333	40.2670283333
-152.36361	41.9204383333
-152.913941667	42.1433716667
-152.239458333	42.123365
-151.35138	41.65649
-137.0423	41.656515
-136.329998333	38.8741783333
-136.401806667	38.2129466667
-136.295908333	39.7105566667
-135.110398333	37.8229233333
-135.996156667	38.3375283333
-135.434001667	39.8299583333
-135.15352	40.21085
-135.436833333	41.9203333333
-135.015523333	42.5601683333
-134.216455	38.3255366667
-134.537058333	38.7032783333
-134.967533333	39.37985
-132.795206667	38.6913816667
-131.971205	41.2413416667
-155.29417	21.9857633333
-155.585013333	22.301465
-154.427526667	23.199985
-153.594846667	22.1378383333
-153.485955	23.9622333333
-152.34	21.1466666667
-152.744535	23.767305
-152.713653333	23.2660133333
-151.925665	22.32116
-151.799993333	23.111415
-150.13627	23.9778166667
-150.166613333	23.5561533333
-149.876935	25.1265633333
-130.135031667	29.9133966667
-129.5275	26.7733333333
-129.108018333	28.7823516667
-129.490018333	30.9861433333
-128.353333333	31.005
-127.25855	31.6438666667
-126.96337	30.1536483333
-126.377013333	31.747425
-125.261851667	30.37046
-125.13724	31.9673516667
-155.499933333	45.3232233333
-155.839058333	46.3661316667
-154.208333333	44.5016666667
-154.390036667	45.5671333333
-154.6457	45.8899
-153.044271667	47.5349683333
-153.053166667	47.1938433333
-152.630195	45.4853116667
-151.420323333	43.8918516667
-151.088333333	43.9216666667
-150.331666667	44.2516666667
-150.435645	45.0023333333
-150.602526667	45.2311583333
-149.982966667	43.1408666667
-135.082	29.8746666667
-135.4	29.795
-134.174916667	27.7250416667
-134.92448	27.0546283333
-134.0737	30.4268333333
-133.388333333	30.3716666667
-149.541115	21.38405
-147.739211667	23.65281
-146.332775	22.67443
